topic,claim,label,url,date_generated,Reviewed
Owens & Minor,Owens & Minor decided to retain full ownership of its Products & Healthcare Services segment.,FALSE,"https://www.hmenews.com/article/owens-minor-names-bernocchi-evp-coo, https://www.medtechdive.com/news/owens-minor-375m-deal-sale-investment-firm/802304/, https://www.massdevice.com/owens-minor-names-new-coo-chro-departs/",20251210,claim_only
Mondelez,Mondelez is introducing Oreo Zero Sugar and Oreo Double Stuf Zero Sugar as permanent sugar-free Oreo products in the United States market starting in January.,TRUE,"https://www.kget.com/national-news/oreo-launching-zero-sugar-cookies-in-2026-report-says/, https://www.fooddive.com/news/mondelez-launches-sugar-free-oreos-snacking/806067/, https://www.yahoo.com/news/articles/mondelez-adds-us-markets-zero-125644349.html",20251210,claim_only
Mondelez,Mondelez has been selling sugar-free Oreo cookies in the United States for several years prior to the announced Oreo Zero Sugar launch.,FALSE,"https://www.kget.com/national-news/oreo-launching-zero-sugar-cookies-in-2026-report-says/, https://www.fooddive.com/news/mondelez-launches-sugar-free-oreos-snacking/806067/, https://www.yahoo.com/news/articles/mondelez-adds-us-markets-zero-125644349.html",20251210,claim_only
New York Life Insurance,"New York Life Insurance Company adopted Windows 365 and Microsoft Intune to provide Cloud PC experiences for more than 7,000 users.",TRUE,"https://insurancenewsnet.com/innarticle/new-york-life-continues-to-close-in-on-athene-annuity-sales-up-50, https://money.com/best-life-insurance/, https://www.cnbc.com/select/best-life-insurance-seniors/",20251210,no
New York Life Insurance,New York Life Insurance Company relies solely on on-premises desktop infrastructure and has not adopted Windows 365 for its workforce.,FALSE,"https://insurancenewsnet.com/innarticle/new-york-life-continues-to-close-in-on-athene-annuity-sales-up-50, https://money.com/best-life-insurance/, https://www.cnbc.com/select/best-life-insurance-seniors/",20251210,claim_only
WEC Energy,"For WEC Energy Group's 2026 plan year, 75% of the annual incentive for named executive officers will be tied to earnings per share and 25% to cash flow.",TRUE,"https://finance.yahoo.com/news/wec-energy-groups-nyse-wec-100457290.html, https://simplywall.st/stocks/us/utilities/nyse-wec/wec-energy-group/news/wec-energy-groups-nysewec-shareholders-will-receive-a-bigger-2, https://www.trefis.com/data/companies/WEC/no-login-required/rIlo8Zse/Can-WEC-Energy-Stock-Recover-If-Markets-Fall-",20251210,no
WEC Energy,"For WEC Energy Group's 2026 plan year, the annual incentive for named executive officers will be based entirely on cash flow, with no portion tied to earnings per share.",FALSE,"https://finance.yahoo.com/news/wec-energy-groups-nyse-wec-100457290.html, https://simplywall.st/stocks/us/utilities/nyse-wec/wec-energy-group/news/wec-energy-groups-nysewec-shareholders-will-receive-a-bigger-2, https://www.trefis.com/data/companies/WEC/no-login-required/rIlo8Zse/Can-WEC-Energy-Stock-Recover-If-Markets-Fall-",20251210,claim_only
Cencora,Cencora is expanding its third-party logistics networks across the United States and Europe to strengthen its cold chain and healthcare bio logistics capabilities.,TRUE,"https://www.trefis.com/data/companies/COR/no-login-required/5fWAkC3X/Can-Cencora-Stock-Recover-If-Markets-Fall-, https://www.tradingview.com/news/zacks:eb4a77fa1094b:0-here-s-why-you-should-add-cencora-stock-to-your-portfolio-now/, http://www.msn.com/en-us/money/savingandinvesting/jpmorgan-raises-cencora-cor-price-target-after-financial-model-update/ar-AA1RENqY?apiversion=v2&domshim=1&noservercache=1&noservertelemetry=1&batchservertelemetry=1&renderwebcomponents=1&wcseo=1",20251210,no
Cencora,Cencora is reducing its investments in third-party logistics and scaling back its cold chain infrastructure in the United States and Europe.,FALSE,"https://www.trefis.com/data/companies/COR/no-login-required/5fWAkC3X/Can-Cencora-Stock-Recover-If-Markets-Fall-, https://www.tradingview.com/news/zacks:eb4a77fa1094b:0-here-s-why-you-should-add-cencora-stock-to-your-portfolio-now/, http://www.msn.com/en-us/money/savingandinvesting/jpmorgan-raises-cencora-cor-price-target-after-financial-model-update/ar-AA1RENqY?apiversion=v2&domshim=1&noservercache=1&noservertelemetry=1&batchservertelemetry=1&renderwebcomponents=1&wcseo=1",20251210,claim_only
Stryker,Stryker has promoted longtime executive Spencer Stiles to the role of president and chief operating officer to help oversee its global business strategy and mergers and acquisitions.,TRUE,"https://www.businessinsider.com/us-army-stryker-10-million-vehicle-weapons2025-12, https://finance.yahoo.com/news/stryker-syk-leadership-shake-evaluating-021320470.html, https://www.stripes.com/branches/army/2025-12-08/stryker-sale-poland-20022727.html",20251210,no
Stryker,Timothy Scannell is still serving as Stryker's chief operating officer as of December 2026.,FALSE,"https://www.businessinsider.com/us-army-stryker-10-million-vehicle-weapons2025-12, https://finance.yahoo.com/news/stryker-syk-leadership-shake-evaluating-021320470.html, https://www.stripes.com/branches/army/2025-12-08/stryker-sale-poland-20022727.html",20251210,claim_only
Autoliv,Wells Fargo analyst Colin Langan has maintained an 'Equal-Weight' rating on Autoliv (ALV) while lowering the stock's price target from $129.00 to $125.00.,TRUE,"https://www.marketbeat.com/instant-alerts/filing-marshall-wace-llp-boosts-holdings-in-autoliv-inc-alv-2025-12-10/, https://www.marklines.com/en/news/337112, https://www.gurufocus.com/news/3239863/autoliv-alv-rating-maintained-price-target-lowered-by-wells-fargo-alv-stock-news",20251210,no
Autoliv,Evercore ISI Group recently lowered its price target for Autoliv (ALV) from $140.00 to $150.00 while downgrading the stock's rating as of December 2026.,FALSE,"https://www.marketbeat.com/instant-alerts/filing-marshall-wace-llp-boosts-holdings-in-autoliv-inc-alv-2025-12-10/, https://www.marklines.com/en/news/337112, https://www.gurufocus.com/news/3239863/autoliv-alv-rating-maintained-price-target-lowered-by-wells-fargo-alv-stock-news",20251210,claim_only
Tyson Foods,"Tyson Foods operates a beef plant in Lexington, Nebraska, with a slaughter capacity of about 5,000 head of cattle per day.",TRUE,"https://www.bloomberg.com/news/articles/2025-12-09/usda-lowers-cattle-price-outlook-after-tyson-beef-plant-closure, https://meatingplace.com/tyson-says-litigation-outcome-could-force-cutbacks-in-grower-contracts/, https://www.farmprogress.com/farm-business/practical-resources-for-nebraska-town-rocked-by-beef-plant-closing",20251210,no
Tyson Foods,"The U.S. cattle herd is currently at its highest level in 75 years, providing abundant supplies for meatpackers.",FALSE,"https://www.bloomberg.com/news/articles/2025-12-09/usda-lowers-cattle-price-outlook-after-tyson-beef-plant-closure, https://meatingplace.com/tyson-says-litigation-outcome-could-force-cutbacks-in-grower-contracts/, https://www.farmprogress.com/farm-business/practical-resources-for-nebraska-town-rocked-by-beef-plant-closing",20251210,claim_only
Chipotle Mexican Grill,"Chipotle Mexican Grill, Inc. announced in an SEC filing that its board of directors authorized an additional $1.8 billion for share repurchases.",TRUE,"https://nypost.com/2025/12/09/us-news/customer-allegedly-bit-into-a-rodent-in-burrito-bowl-from-nyc-chipotle-lawsuit/, https://people.com/chipotle-is-giving-away-free-burritos-this-weekend-11864244, https://finance.yahoo.com/news/chipotle-mexican-grill-cmg-down-163931790.html",20251210,no
Advance Auto Parts,The US Court of Appeals for the Fourth Circuit heard oral arguments in a case involving an Advance Auto Parts investor alleging that former executives hid improper accounting practices related to vendor credits to boost margins during a turnaround effort.,TRUE,"https://finance.yahoo.com/news/stocks-making-big-moves-yesterday-130037192.html, https://www.motor1.com/news/781294/advance-auto-parts-changing-headlights-new-cars/, https://news.bloomberglaw.com/securities-law/advance-auto-parts-investor-meets-mixed-appeals-court-on-intent",20251210,no
Advance Auto Parts,The US Court of Appeals for the Fourth Circuit has definitively ruled that Advance Auto Parts is free from all investor fraud allegations related to its accounting of vendor credits.,FALSE,"https://finance.yahoo.com/news/stocks-making-big-moves-yesterday-130037192.html, https://www.motor1.com/news/781294/advance-auto-parts-changing-headlights-new-cars/, https://news.bloomberglaw.com/securities-law/advance-auto-parts-investor-meets-mixed-appeals-court-on-intent",20251210,claim_only
Science Applications International,"Science Applications International Corporation (NYSE: SAIC) reported a return on equity of 23.75%, according to a Seeking Alpha analysis.",TRUE,"https://finance.yahoo.com/news/look-science-applications-internationals-saic-181629007.html, https://www.nasdaq.com/articles/ubs-maintains-science-applications-international-saic-neutral-recommendation, https://www.trefis.com/data/companies/SAIC/no-login-required/RLrojlP3/Can-Science-Applications-International-Stock-Hold-Up-When-Markets-Turn-",20251210,no
Science Applications International,"Science Applications International Corporation (NYSE: SAIC) reported a five-year net income decline of 75.8%, according to a Seeking Alpha analysis.",FALSE,"https://finance.yahoo.com/news/look-science-applications-internationals-saic-181629007.html, https://www.nasdaq.com/articles/ubs-maintains-science-applications-international-saic-neutral-recommendation, https://www.trefis.com/data/companies/SAIC/no-login-required/RLrojlP3/Can-Science-Applications-International-Stock-Hold-Up-When-Markets-Turn-",20251210,claim_only
Nvidia,Nvidia has developed a software-based location verification technology that uses GPU telemetry and confidential computing capabilities to indicate which country its chips are operating in.,TRUE,"https://www.cnbc.com/2025/12/10/nvidia-report-china-deepseek-ai-blackwell-chips.html, https://www.nytimes.com/2025/12/09/business/china-gains-trump-nvidia-chips.html, https://www.economist.com/business/2025/12/09/donald-trumps-flawed-plan-to-get-china-hooked-on-nvidia-chips",20251210,no
Nvidia,Nvidia's Blackwell artificial intelligence chips are freely exportable to China without any U.S. government restrictions as of December 2026.,FALSE,"https://www.cnbc.com/2025/12/10/nvidia-report-china-deepseek-ai-blackwell-chips.html, https://www.nytimes.com/2025/12/09/business/china-gains-trump-nvidia-chips.html, https://www.economist.com/business/2025/12/09/donald-trumps-flawed-plan-to-get-china-hooked-on-nvidia-chips",20251210,claim_only
M&T Bank,"M&T Bank Corporation is headquartered in Buffalo, New York and manages approximately $210 billion in assets as of June 30, 2025.",TRUE,"https://news.bloomberglaw.com/banking-law/m-t-bank-sees-m-a-high-in-its-capital-deployment-plans-cfo-says, https://www.bizjournals.com/philadelphia/news/2025/12/10/downtown-wilmington-office-sale-conversion.html, https://www.dailyforex.com/forex-technical-analysis/2025/12/mt-bank-stock-signal-10-december-2025/238282",20251210,no
M&T Bank,M&T Bank Corporation plans to increase its prime lending rate from 6.75% to 7.00%.,FALSE,"https://news.bloomberglaw.com/banking-law/m-t-bank-sees-m-a-high-in-its-capital-deployment-plans-cfo-says, https://www.bizjournals.com/philadelphia/news/2025/12/10/downtown-wilmington-office-sale-conversion.html, https://www.dailyforex.com/forex-technical-analysis/2025/12/mt-bank-stock-signal-10-december-2025/238282",20251210,claim_only
Public Service Enterprise,The PSEG Foundation received the Spirit of Edison Corporate Community Leader Award from Thomas Edison State University in recognition of more than 30 years of support for military and veteran students.,TRUE,"https://ca.finance.yahoo.com/news/public-enterprise-group-peg-among-201648012.html, https://www.insidermonkey.com/blog/public-service-enterprise-group-peg-among-the-best-energy-stocks-for-a-retirement-portfolio-1657964/, https://www.marketbeat.com/instant-alerts/filing-state-street-corp-buys-206843-shares-of-public-service-enterprise-group-incorporated-peg-2025-12-10/",20251210,no
Public Service Enterprise,The PSEG Foundation has not provided any scholarship or educational support related to nuclear energy engineering technology programs.,FALSE,"https://ca.finance.yahoo.com/news/public-enterprise-group-peg-among-201648012.html, https://www.insidermonkey.com/blog/public-service-enterprise-group-peg-among-the-best-energy-stocks-for-a-retirement-portfolio-1657964/, https://www.marketbeat.com/instant-alerts/filing-state-street-corp-buys-206843-shares-of-public-service-enterprise-group-incorporated-peg-2025-12-10/",20251210,claim_only
Yum Brands,"Yum! Brands, Inc., in collaboration with its internal strategy agency Collider Lab, released a 2026 Food Trends Report titled ""What's Next in Dining"" that examines cultural and consumer shifts shaping how and what people will eat in 2026.",TRUE,"https://www.nrn.com/quick-service/yum-brands-trend-report-shows-younger-consumers-want-control-of-their-dining-experience, https://www.restaurantdive.com/news/yum-brands-collider-labs-consumer-report-ken-muench/807520/, https://seekingalpha.com/article/4852168-yum-brands-dont-count-on-pizza-hut-sale-to-boost-this-indebted-business",20251210,no
Fastenal,"Fastenal Company has established a corporate partnership with the National FFA Organization, under which Fastenal will provide grants to state FFA associations and local chapters and fund college scholarship programs available through FFA's grant application platform.",TRUE,"https://www.inddist.com/workforce-development/news/22956343/fastenal-announces-partnership-with-national-ffa-organization, https://www.marketbeat.com/instant-alerts/filing-daiwa-securities-group-inc-acquires-254234-shares-of-fastenal-company-fast-2025-12-10/, https://www.businesswire.com/news/home/20251205661868/en/Fastenal-and-National-FFA-Organization-Launch-Corporate-Partnership",20251210,no
Fastenal,"Fastenal's reported November net sales declined year-over-year, with both total and daily sales falling compared to the prior year.",FALSE,"https://www.inddist.com/workforce-development/news/22956343/fastenal-announces-partnership-with-national-ffa-organization, https://www.marketbeat.com/instant-alerts/filing-daiwa-securities-group-inc-acquires-254234-shares-of-fastenal-company-fast-2025-12-10/, https://www.businesswire.com/news/home/20251205661868/en/Fastenal-and-National-FFA-Organization-Launch-Corporate-Partnership",20251210,claim_only
Kenvue,Kimberly-Clark announced a cash and stock agreement to acquire Tylenol maker Kenvue in a deal valued at about $48.7 billion.,TRUE,"https://www.bloomberg.com/news/articles/2025-12-08/tylenol-maker-isn-t-registered-to-operate-in-texas-judge-says, https://www.kvue.com/article/news/local/texas/tylenol-johnson-and-johnson-kenvue-ken-paxton/269-6a900878-c181-484d-bfe8-adbf77d703da, https://thetexan.news/issues/healthcare/texas-granted-tro-against-kenvue-johnson-johnson-for-alleged-unregistered-foreign-company-status/article_af127945-b683-4267-9a64-e56a2e24d5bf.html",20251210,no
Kenvue,Kimberly-Clark's planned acquisition of Tylenol maker Kenvue is structured as an all-cash transaction with no stock component.,FALSE,"https://www.bloomberg.com/news/articles/2025-12-08/tylenol-maker-isn-t-registered-to-operate-in-texas-judge-says, https://www.kvue.com/article/news/local/texas/tylenol-johnson-and-johnson-kenvue-ken-paxton/269-6a900878-c181-484d-bfe8-adbf77d703da, https://thetexan.news/issues/healthcare/texas-granted-tro-against-kenvue-johnson-johnson-for-alleged-unregistered-foreign-company-status/article_af127945-b683-4267-9a64-e56a2e24d5bf.html",20251210,claim_only
Chewy,Stella & Chewy's has launched its products into 464 Sprouts Farmers Market stores across the United States.,TRUE,"https://finance.yahoo.com/news/chewy-chwy-reports-earnings-tomorrow-030112364.html, https://www.investors.com/news/technology/chewy-stock-chwy-q3-2025-earnings/, https://www.wsj.com/business/earnings/chewy-quarterly-profit-revenue-rise-on-market-share-gains-4c49eca5?gaa_at=eafs&gaa_n=AWEtsqfesh55FLP5GCvgM9FRyS5sGsFUjxMQ841ofoTn9zdw_MzO_AykCcHm&gaa_ts=6939fef2&gaa_sig=EkkTlZvCcfpb22aVYAcNey1zgKZ4m1VQ7I00ZloxgVTjUOFbGs441dc7GfzmKHgsNgpy7-CVyYR14YjrUx01Og%3D%3D",20251210,no
Chewy,Stella & Chewy's products are not available in any Sprouts Farmers Market stores in the United States.,FALSE,"https://finance.yahoo.com/news/chewy-chwy-reports-earnings-tomorrow-030112364.html, https://www.investors.com/news/technology/chewy-stock-chwy-q3-2025-earnings/, https://www.wsj.com/business/earnings/chewy-quarterly-profit-revenue-rise-on-market-share-gains-4c49eca5?gaa_at=eafs&gaa_n=AWEtsqfesh55FLP5GCvgM9FRyS5sGsFUjxMQ841ofoTn9zdw_MzO_AykCcHm&gaa_ts=6939fef2&gaa_sig=EkkTlZvCcfpb22aVYAcNey1zgKZ4m1VQ7I00ZloxgVTjUOFbGs441dc7GfzmKHgsNgpy7-CVyYR14YjrUx01Og%3D%3D",20251210,claim_only
AbbVie,"Under a licensing deal signed in February 2024, AbbVie obtained an exclusive global license to develop, manufacture and commercialize OSE Immunotherapeutics' preclinical anti-ChemR23 monoclonal antibody OSE-230.",TRUE,"https://www.fiercebiotech.com/biotech/abbvie-hands-back-phase-1-duties-chronic-inflammation-drug-partner-ose, https://247wallst.com/investing/2025/12/10/here-are-wednesdays-top-wall-street-analyst-research-calls-abbvie-amazon-com-biogen-echostar-ferrari-ge-vernova-pepsico-take-two-interactive-and-more/, https://finance.yahoo.com/news/why-narrative-around-abbvie-shifting-231232940.html",20251210,no
AbbVie,"Under their February 2024 agreement, OSE Immunotherapeutics retained global rights to develop, manufacture and commercialize the anti-ChemR23 monoclonal antibody OSE-230 while AbbVie only provided funding support.",FALSE,"https://www.fiercebiotech.com/biotech/abbvie-hands-back-phase-1-duties-chronic-inflammation-drug-partner-ose, https://247wallst.com/investing/2025/12/10/here-are-wednesdays-top-wall-street-analyst-research-calls-abbvie-amazon-com-biogen-echostar-ferrari-ge-vernova-pepsico-take-two-interactive-and-more/, https://finance.yahoo.com/news/why-narrative-around-abbvie-shifting-231232940.html",20251210,claim_only
Solventum,"Solventum Corporation (ticker symbol SOLV) is a healthcare company that develops, manufactures, and commercializes a portfolio of solutions to address customer and patient needs in the United States and internationally.",TRUE,"https://finance.yahoo.com/news/solventum-solv-reassessing-valuation-strong-050851408.html, https://www.insidermonkey.com/blog/should-you-add-solventum-corp-solv-to-your-portfolio-1657615/, https://finviz.com/news/249954/solventum-corporation-solv-a-bull-case-theory",20251210,no
Solventum,Solventum Corporation was spun off from Johnson & Johnson.,FALSE,"https://finance.yahoo.com/news/solventum-solv-reassessing-valuation-strong-050851408.html, https://www.insidermonkey.com/blog/should-you-add-solventum-corp-solv-to-your-portfolio-1657615/, https://finviz.com/news/249954/solventum-corporation-solv-a-bull-case-theory",20251210,claim_only
Howmet Aerospace,Howmet Aerospace manufactures parts for Lockheed Martin's F-35 fighter jet.,TRUE,"https://finance.yahoo.com/news/think-howmet-aerospace-nyse-hwm-130020732.html, https://fightbacknews.org/articles/tucson-anti-war-committee-launches-campaign-against-howmet-aerospace, https://simplywall.st/stocks/us/capital-goods/nyse-hwm/howmet-aerospace/news/howmet-aerospace-hwm-reassessing-valuation-after-strong-quar/amp",20251210,no
Howmet Aerospace,Howmet Aerospace does not manufacture any components for the F-35 fighter jet.,FALSE,"https://finance.yahoo.com/news/think-howmet-aerospace-nyse-hwm-130020732.html, https://fightbacknews.org/articles/tucson-anti-war-committee-launches-campaign-against-howmet-aerospace, https://simplywall.st/stocks/us/capital-goods/nyse-hwm/howmet-aerospace/news/howmet-aerospace-hwm-reassessing-valuation-after-strong-quar/amp",20251210,claim_only
Colgate-Palmolive,Colgate-Palmolive has maintained uninterrupted dividend payments on its common stock since 1895.,TRUE,"https://www.investing.com/news/company-news/colgatepalmolive-declares-052-quarterly-dividend-93CH-4401901, https://www.gurufocus.com/news/3242866/colgatepalmolive-cl-maintains-quarterly-dividend-at-052, https://www.marketscreener.com/news/colgate-palmolive-keeps-quarterly-dividend-at-0-52-a-share-payable-feb-13-2026-to-holders-of-re-ce7d50dadd89f327",20251210,no
Colgate-Palmolive,Colgate-Palmolive has suspended its common stock dividend multiple times since 1895.,FALSE,"https://www.investing.com/news/company-news/colgatepalmolive-declares-052-quarterly-dividend-93CH-4401901, https://www.gurufocus.com/news/3242866/colgatepalmolive-cl-maintains-quarterly-dividend-at-052, https://www.marketscreener.com/news/colgate-palmolive-keeps-quarterly-dividend-at-0-52-a-share-payable-feb-13-2026-to-holders-of-re-ce7d50dadd89f327",20251210,claim_only
Mass Mutual,Michael T. Rollings served as Chief Financial Officer and Managing Director of Finance at the Vanguard Group from 2016 until his retirement in June 2025.,TRUE,"https://www.westernmassnews.com/2025/12/10/college-basketball-fans-head-massmutual-center-hall-fame-classic/, https://www.insurancebusinessmag.com/us/news/breaking-news/insurance-moves-mosaic-lockton-westfield-massmutual-559467.aspx, https://www.businesswire.com/news/home/20251204217820/en/MassMutual-Announces-the-Appointment-of-Michael-T.-Rollings-to-Its-Board-of-Directors",20251210,no
Mass Mutual,The U.S. Securities and Exchange Commission investigation described in the articles concerns MassMutual's marketing practices rather than its accounting for income on loans in its general investment account.,FALSE,"https://www.westernmassnews.com/2025/12/10/college-basketball-fans-head-massmutual-center-hall-fame-classic/, https://www.insurancebusinessmag.com/us/news/breaking-news/insurance-moves-mosaic-lockton-westfield-massmutual-559467.aspx, https://www.businesswire.com/news/home/20251204217820/en/MassMutual-Announces-the-Appointment-of-Michael-T.-Rollings-to-Its-Board-of-Directors",20251210,claim_only
Community Health Systems,"Community Health Systems, Inc. appointed Kevin Hammons as chief executive officer and Jason Johnson as chief financial officer after both had been serving in those roles on an interim basis since October 1, 2025.",TRUE,"https://www.modernhealthcare.com/providers/mh-community-health-systems-kevin-hammons-ceo/, https://www.investing.com/news/company-news/community-health-systems-appoints-hammons-as-ceo-johnson-as-cfo-93CH-4401833, https://www.stocktitan.net/news/CYH/community-health-systems-appoints-kevin-hammons-chief-executive-fvytke3v4oe4.html",20251210,no
Community Health Systems,"Community Health Systems, Inc. selected Jason Johnson as chief executive officer and Kevin Hammons as chief financial officer after they had been serving in those roles on an interim basis since October 1, 2025.",FALSE,"https://www.modernhealthcare.com/providers/mh-community-health-systems-kevin-hammons-ceo/, https://www.investing.com/news/company-news/community-health-systems-appoints-hammons-as-ceo-johnson-as-cfo-93CH-4401833, https://www.stocktitan.net/news/CYH/community-health-systems-appoints-kevin-hammons-chief-executive-fvytke3v4oe4.html",20251210,claim_only
Commercial Metals,"Commercial Metals Company operates in the basic materials sector with a focus on steel production and recycling, including the manufacture of rebar and structural steel.",TRUE,"https://www.gurufocus.com/news/3241495/commercial-metals-cmc-upgraded-to-buy-by-jefferies-price-target-raised, https://finance.yahoo.com/news/commercial-metals-cmc-2-billion-160805689.html, https://au.investing.com/news/company-news/commercial-metals-stock-hits-alltime-high-at-6848-usd-93CH-4165277",20251210,no
Commercial Metals,Commercial Metals Company's recent private offering of senior unsecured notes was for less than US$1 billion in total principal amount.,FALSE,"https://www.gurufocus.com/news/3241495/commercial-metals-cmc-upgraded-to-buy-by-jefferies-price-target-raised, https://finance.yahoo.com/news/commercial-metals-cmc-2-billion-160805689.html, https://au.investing.com/news/company-news/commercial-metals-stock-hits-alltime-high-at-6848-usd-93CH-4165277",20251210,claim_only
DTE Energy,DTE Energy has selected ISNetworld as its primary contractor information management platform to improve contractor compliance and safety management across its operations.,TRUE,"https://subscriber.politicopro.com/article/eenews/2025/12/10/michigan-regulators-blow-past-dte-energys-data-center-deadline-00682974, https://www.businesswire.com/news/home/20251210582452/en/DTE-Energy-Partners-with-ISN-to-Upscale-Contractor-Qualification-and-Enhance-Risk-Management-Process, https://planetdetroit.org/2025/12/dte-expects-data-center-approval/",20251210,no
DTE Energy,The planned Saline Township data center associated with DTE Energy is described as a 2.4-gigawatt project costing $7 billion.,FALSE,"https://subscriber.politicopro.com/article/eenews/2025/12/10/michigan-regulators-blow-past-dte-energys-data-center-deadline-00682974, https://www.businesswire.com/news/home/20251210582452/en/DTE-Energy-Partners-with-ISN-to-Upscale-Contractor-Qualification-and-Enhance-Risk-Management-Process, https://planetdetroit.org/2025/12/dte-expects-data-center-approval/",20251210,claim_only
Skechers U.S.A.,"The Skechers World Champions Cup Supporting Shriners Children's is a golf event featuring three six-player teams representing the United States, Europe, and an International side.",TRUE,"https://www.pgatour.com/pgatour-champions/article/news/daily-wrapup/2025/12/07/team-europe-wins-sketchers-world-champions-cup-supporting-shriners-children-darren-clarke-bernhard-langer, https://golfweek.usatoday.com/story/sports/golf/champions/2025/12/07/europe-wins-2025-skechers-world-champions-cup-shriners-childrens-feather-sound/87657471007/, https://www.todays-golfer.com/news-and-events/tour-news/skechers-world-champions-cup-preview/",20251210,no
