claim,ground_truth,factchecker_prediction,baseline_prediction
SOS is used internationally by ships,TRUE,CONTAINS_UNSUPPORTED_CLAIMS,SUPPORTED
Mexico has a bigger problem with obesity than Ireland,TRUE,SUPPORTED,SUPPORTED
Argentina hosted the tournament in 1978,TRUE,SUPPORTED,NOT_ENOUGH_INFO
Humans typically have 24 ribs,TRUE,SUPPORTED,SUPPORTED
The peregrine falcon can reach speeds of over 240 miles per hour,TRUE,CONTAINS_REFUTED_CLAIMS,SUPPORTED
"""Everydays: The First 5000 Days"" was sold at a Christie's auction in March 2021",TRUE,SUPPORTED,SUPPORTED
Different sources may have slightly different numbers,TRUE,SUPPORTED,SUPPORTED
Jupiter has the most moons in our solar system,TRUE,CONTAINS_REFUTED_CLAIMS,SUPPORTED
Humans have 12 ribs on each side of the ribcage,TRUE,SUPPORTED,SUPPORTED
Jack Dorsey is the CEO of Twitter,FALSE,CONTAINS_REFUTED_CLAIMS,REFUTED
Argentina won the World Cup in Mexico in 1986,TRUE,SUPPORTED,SUPPORTED
The New Populism is a political movement,TRUE,SUPPORTED,SUPPORTED
